identifier	name	participants	participatingComplex	pubMedIdentifiers
R-HSA-1006173	"CFH:Host cell surface [plasma membrane]"	uniprot:P08603|chebi:24505|chebi:28879	R-ALL-1006146	762425|16192651
R-HSA-1008206	"NF-E2:Promoter region of beta-globin [nucleoplasm]"	uniprot:Q16621|uniprot:Q9ULX9|uniprot:O15525|uniprot:O60675	R-HSA-1008229	8816476
R-HSA-1008229	"NF-E2 [nucleoplasm]"	uniprot:Q16621|uniprot:Q9ULX9|uniprot:O15525|uniprot:O60675	-	1902783|9679061|2235483|9224592|7567998|2116990
R-HSA-1008252	"IRF1:Promoter region of IFN beta [nucleoplasm]"	ensembl:ENSG00000171855|uniprot:P10914	-	-
R-HSA-1011577	"C-terminal EH domain containing proteins:Rabenosyn-5 [endosome membrane]"	uniprot:Q9H1K0|uniprot:Q9NZN4|uniprot:Q9NZN3|uniprot:Q9H4M9	-	16155252|15020713|17233914|9303539
R-HSA-1011605	"Rabenosyn-5:VPS-45 [endosome membrane]"	uniprot:Q9H1K0|uniprot:P20339|uniprot:Q9NRW7	-	10811830|10559924|11062261
R-HSA-1012969	"DOCK-GEFs:RAC1, CDC42 [cytosol]"	uniprot:P60953|uniprot:P63000|uniprot:Q9H7D0|uniprot:Q8IZD9|uniprot:Q96N67|uniprot:Q92608|uniprot:Q96BY6|uniprot:Q8NF50|uniprot:Q8N1I0|uniprot:Q96HP0|uniprot:Q9BZ29|uniprot:Q14185|uniprot:Q5JSL3	-	12432077|16025104|12134158|17196961|17765544|14638695|15710388|17027967|15247287
R-HSA-1013011	"GABA B receptor G-protein beta-gamma and Kir3 channel complex [plasma membrane]"	uniprot:P78508|uniprot:P48050|uniprot:Q14500|uniprot:Q9NPI9|uniprot:P63252|uniprot:P48549|uniprot:P48544|uniprot:P48051|uniprot:Q92806|uniprot:Q99712|uniprot:P62879|uniprot:Q9HAV0|uniprot:O14775|uniprot:P16520|uniprot:P62873|uniprot:Q9UK08|uniprot:O14610|uniprot:P63211|uniprot:O60262|uniprot:Q9P2W3|uniprot:P63215|uniprot:P50151|uniprot:P61952|uniprot:P50150|uniprot:P63218|uniprot:Q9UBI6|uniprot:P59768|chebi:59888|uniprot:Q9UBS5|uniprot:O75899	R-HSA-1013017|R-HSA-167434|R-HSA-420698|R-HSA-420748	20655490
R-HSA-1013017	"GABA B receptor G-protein beta-gamma complex [plasma membrane]"	uniprot:P62879|uniprot:Q9HAV0|uniprot:O14775|uniprot:P16520|uniprot:P62873|uniprot:Q9UK08|uniprot:O14610|uniprot:P63211|uniprot:O60262|uniprot:Q9P2W3|uniprot:P63215|uniprot:P50151|uniprot:P61952|uniprot:P50150|uniprot:P63218|uniprot:Q9UBI6|uniprot:P59768|chebi:59888|uniprot:Q9UBS5|uniprot:O75899	R-HSA-167434|R-HSA-420698|R-HSA-420748	20453851
R-HSA-1013836	"CDK5:CABLES:ABL [cytosol]"	uniprot:Q00535|uniprot:P00519|uniprot:Q9BTV7|uniprot:Q8TDN4	-	10896159|14729625|18059193|11706030|10873625|11585773|11955625
R-HSA-1013858	"CDK2:CABLES1:WEE1 [nucleoplasm]"	uniprot:Q8TDN4|uniprot:P30291|uniprot:P24941	-	10896159|14729625|18059193|11706030|10873625|11585773|11955625
R-HSA-1015697	"ISGF3 bound to ISRE promotor elements [nucleoplasm]"	ensembl:ENSG00000119917|ensembl:ENSG00000137265|ensembl:ENSG00000213928|ensembl:ENSG00000168310|ensembl:ENSG00000185507|ensembl:ENSG00000117595|ensembl:ENSG00000125347|ensembl:ENSG00000128604|ensembl:ENSG00000140968|ensembl:ENSG00000126456|ensembl:ENSG00000126709|ensembl:ENSG00000101347|ensembl:ENSG00000120738|ensembl:ENSG00000111335|ensembl:ENSG00000089127|ensembl:ENSG00000111331|ensembl:ENSG00000135114|ensembl:ENSG00000130303|ensembl:ENSG00000160710|ensembl:ENSG00000172183|ensembl:ENSG00000165949|ensembl:ENSG00000068745|ensembl:ENSG00000142089|ensembl:ENSG00000187608|ensembl:ENSG00000135828|ensembl:ENSG00000132530|ensembl:ENSG00000134321|ensembl:ENSG00000068079|ensembl:ENSG00000206341|ensembl:ENSG00000204632|ensembl:ENSG00000234745|ensembl:ENSG00000204642|ensembl:ENSG00000204592|ensembl:ENSG00000206503|ensembl:ENSG00000204525|ensembl:ENSG00000152778|ensembl:ENSG00000162645|ensembl:ENSG00000185745|ensembl:ENSG00000204264|ensembl:ENSG00000185885|ensembl:ENSG00000119922|ensembl:ENSG00000185201|ensembl:ENSG00000183486|ensembl:ENSG00000157601|uniprot:P52630|uniprot:P42224-2|uniprot:P42224-1|uniprot:Q00978	R-HSA-913527|R-HSA-909693	12766484|9861020|7540766|18575461
R-HSA-1015817	"B4GALT6 homodimer [Golgi membrane]"	uniprot:Q9UBX8	-	-
R-HSA-1015827	"B4GALT5 homodimer [Golgi membrane]"	uniprot:O43286	-	-
R-HSA-1015869	"Kinesin-14 [cytosol]"	uniprot:Q9BW19	-	15659646|2146510
R-HSA-1017219	"LMAN1:MCFD2 [ER to Golgi transport vesicle membrane]"	uniprot:P49257|uniprot:Q8NI22	-	-
R-HSA-1018384	"IRF2:Promoter region of INF beta [nucleoplasm]"	uniprot:P14316|ensembl:ENSG00000171855	-	-
R-HSA-1027359	"p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300:Promotor region of interferon beta [nucleoplasm]"	ensembl:ENSG00000171855|uniprot:Q14653|uniprot:Q09472|uniprot:Q92793	R-HSA-1027364|R-HSA-177675	9541017
R-HSA-1027360	"VAF (virus-activated factor) [nucleoplasm]"	uniprot:Q14653|uniprot:Q92985|uniprot:Q09472|uniprot:Q92793	R-HSA-1027365	9660935
R-HSA-1027364	"p-T,4S-IRF3:p-T,4S-IRF3:CREBBP, EP300 [nucleoplasm]"	uniprot:Q14653|uniprot:Q09472|uniprot:Q92793	R-HSA-177675	9541017|10082512|9463386
R-HSA-1027365	"IRF3-P:IRF7-P [nucleoplasm]"	uniprot:Q14653|uniprot:Q92985	-	12604599
R-HSA-1027367	"IRF3-P:IRF7-P [cytosol]"	uniprot:Q14653|uniprot:Q92985	-	12604599
R-HSA-1027368	"VAF/pIRF7:CBP/p300 bound to type I IFN gene promoter [nucleoplasm]"	ensembl:ENSG00000188379|ensembl:ENSG00000233816|ensembl:ENSG00000186803|ensembl:ENSG00000147873|ensembl:ENSG00000137080|ensembl:ENSG00000147885|ensembl:ENSG00000214042|ensembl:ENSG00000228083|ensembl:ENSG00000234829|ensembl:ENSG00000120242|ensembl:ENSG00000236637|ensembl:ENSG00000120235|ensembl:ENSG00000171855|uniprot:Q92985|uniprot:Q09472|uniprot:Q92793|uniprot:Q14653	-	9822609
R-HSA-1031710	"GAF bound to GAS promoter element [nucleoplasm]"	uniprot:P42224-1	R-HSA-873824	1281555|9143706|1898761|1901265
R-HSA-1045152	"PIK3CD:PIK3R1 [plasma membrane]"	uniprot:O00329|uniprot:P27986	-	-
R-HSA-1067638	"IL6:IL6R [plasma membrane]"	uniprot:P08887|uniprot:P05231	-	2788034
R-HSA-1067654	"IL6:IL6RA:IL6RB:JAKs [plasma membrane]"	uniprot:P08887|uniprot:P05231|uniprot:P40189|uniprot:P29597|uniprot:P23458|uniprot:O60674	R-HSA-1067638|R-HSA-1067690	2788034
