setName	pathwayName
OXIDATIVE_PHOSPHORYLATION	Oxidative phosphorylation
MYC_TARGETS_V1	MYC targets v1
MTORC1_SIGNALING	mTORC1 signaling
INTERFERON_ALPHA_RESPONSE	Interferon alpha response
PROTEIN_SECRETION	Protein secretion
CHOLESTEROL_HOMEOSTASIS	Cholesterol homeostatisis
FATTY_ACID_METABOLISM	Fatty acid metabolism
INTERFERON_GAMMA_RESPONSE	Interferon gamma response
MYC_TARGETS_V2	MYC targets v2
UNFOLDED_PROTEIN_RESPONSE	Unfolded protein response
PI3K_AKT_MTOR_SIGNALING	PI3K-ATK-mTOR signaling
SPLICEOSOME	Spliceosome
REGULATION_OF_ACTIN_CYTOSKELETON	Regulation of actin cytoskeleton
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Leukocyte transendothelial migration
CHEMOKINE_SIGNALING_PATHWAY	Chemokine signaling pathway
ADIPOCYTOKINE_SIGNALING_PATHWAY	Adipocytokine signaling pathway
B_CELL_RECEPTOR_SIGNALING_PATHWAY	B-cell receptor signaling pathway
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	FC-gamma-R mediated phagocytosis
FOCAL_ADHESION	Focal adhesion
RIBOSOME	Ribosome
HYPERTROPHIC_CARDIOMYOPATHY_HCM	Hypertrophic cardiomyopathy
T_CELL_RECEPTOR_SIGNALING_PATHWAY	T-cell receptor signaling pathway
JAK_STAT_SIGNALING_PATHWAY	JAK-STAT signaling pathway
NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Natural killer cell mediated cytotoxicity
APOPTOSIS	Apoptosis
E2F_TARGETS	E2F targets
P53_PATHWAY	P53 pathway
MITOTIC_SPINDLE	Mitotic spindle
APICAL_JUNCTION	Apical junction
GLYCOLYSIS_GLUCONEOGENESIS	Glycolysis gluconeogenesis
COMPLEMENT	Complement
TNFA_SIGNALING_VIA_NFKB	TNF-alpha signaling via NFKB
EPITHELIAL_MESENCHYMAL_TRANSITION	Epithelial mesenchymal transition
ALLOGRAFT_REJECTION	Allograft rejection
INFLAMMATORY_RESPONSE	Inflammatory response
MYOGENESIS	Myogenesis
G2M_CHECKPOINT	G2M checkpoint
ADIPOGENESIS	Adipogenesis
