pair;ProtA;ProtB;Reactome;Corum;database;inComplex
Q9H4M9-Q9NZN3;Q9H4M9;Q9NZN3;TRUE;FALSE;ReactomeOnly;yes
P60953-P63000;P60953;P63000;TRUE;FALSE;ReactomeOnly;yes
P60953-Q5JSL3;P60953;Q5JSL3;TRUE;FALSE;ReactomeOnly;yes
P60953-Q8NF50;P60953;Q8NF50;TRUE;FALSE;ReactomeOnly;yes
P60953-Q92608;P60953;Q92608;TRUE;FALSE;ReactomeOnly;yes
P60953-Q96BY6;P60953;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
P63000-Q5JSL3;P63000;Q5JSL3;TRUE;FALSE;ReactomeOnly;yes
P63000-Q8NF50;P63000;Q8NF50;TRUE;FALSE;ReactomeOnly;yes
P63000-Q92608;P63000;Q92608;TRUE;FALSE;ReactomeOnly;yes
P63000-Q96BY6;P63000;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
Q5JSL3-Q8NF50;Q5JSL3;Q8NF50;TRUE;FALSE;ReactomeOnly;yes
Q5JSL3-Q92608;Q5JSL3;Q92608;TRUE;FALSE;ReactomeOnly;yes
Q5JSL3-Q96BY6;Q5JSL3;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
Q8NF50-Q92608;Q8NF50;Q92608;TRUE;FALSE;ReactomeOnly;yes
Q8NF50-Q96BY6;Q8NF50;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
Q92608-Q96BY6;Q92608;Q96BY6;TRUE;FALSE;ReactomeOnly;yes
O60262-P59768;O60262;P59768;TRUE;FALSE;ReactomeOnly;yes
O60262-P62873;O60262;P62873;TRUE;TRUE;both;yes
O60262-P62879;O60262;P62879;TRUE;TRUE;both;yes
P59768-P62873;P59768;P62873;TRUE;TRUE;both;yes
P59768-P62879;P59768;P62879;TRUE;TRUE;both;yes
P62873-P62879;P62873;P62879;TRUE;FALSE;ReactomeOnly;yes
P52630-Q00978;P52630;Q00978;TRUE;TRUE;both;yes
Q14653-Q92793;Q14653;Q92793;TRUE;FALSE;ReactomeOnly;yes
O00329-P27986;O00329;P27986;TRUE;FALSE;ReactomeOnly;yes
O00268-Q12962;O00268;Q12962;TRUE;TRUE;both;yes
O00268-Q92804;O00268;Q92804;TRUE;TRUE;both;yes
Q12962-Q92804;Q12962;Q92804;TRUE;TRUE;both;yes
O00268-Q00403;O00268;Q00403;TRUE;TRUE;both;yes
Q00403-Q12962;Q00403;Q12962;TRUE;TRUE;both;yes
Q00403-Q92804;Q00403;Q92804;TRUE;FALSE;ReactomeOnly;yes
P13984-P35269;P13984;P35269;TRUE;TRUE;both;yes
O00268-P13984;O00268;P13984;TRUE;FALSE;ReactomeOnly;yes
O00268-P19387;O00268;P19387;TRUE;FALSE;ReactomeOnly;yes
O00268-P19388;O00268;P19388;TRUE;FALSE;ReactomeOnly;yes
O00268-P24928;O00268;P24928;TRUE;FALSE;ReactomeOnly;yes
O00268-P30876;O00268;P30876;TRUE;FALSE;ReactomeOnly;yes
